RecordID,lpep_pickup_date,lpep_dropoff_date
32222,2023-02-15,2023-02-15
63460,2023-02-20,2023-02-20
21714,2023-02-10,2023-02-10
40250,2023-02-19,2023-02-19
1150,2023-02-01,2023-02-01
43088,2023-02-21,2023-02-21
2106,2023-02-01,2023-02-01
64323,2023-02-25,2023-02-25
38843,2023-02-18,2023-02-18
39423,2023-02-18,2023-02-18
30837,2023-02-15,2023-02-15
28814,2023-02-14,2023-02-14
12811,2023-02-07,2023-02-07
45430,2023-02-22,2023-02-22
29332,2023-02-14,2023-02-14
33010,2023-02-16,2023-02-16
489,2023-02-01,2023-02-01
16513,2023-02-08,2023-02-08
16105,2023-02-08,2023-02-08
2714,2023-02-02,2023-02-02
14967,2023-02-08,2023-02-08
54570,2023-02-26,2023-02-26
58149,2023-02-28,2023-02-28
20726,2023-02-10,2023-02-10
51734,2023-02-24,2023-02-24
47283,2023-02-22,2023-02-22
33188,2023-02-16,2023-02-16
18126,2023-02-09,2023-02-09
49338,2023-02-23,2023-02-23
56188,2023-02-27,2023-02-27
25623,2023-02-12,2023-02-12
24036,2023-02-11,2023-02-11
45400,2023-02-22,2023-02-22
13625,2023-02-07,2023-02-07
15965,2023-02-08,2023-02-08
61058,2023-02-06,2023-02-06
20701,2023-02-10,2023-02-10
1155,2023-02-01,2023-02-01
40938,2023-02-19,2023-02-19
59516,2023-02-28,2023-02-28
61886,2023-02-11,2023-02-11
3228,2023-02-02,2023-02-02
5799,2023-02-03,2023-02-03
14356,2023-02-07,2023-02-07
52501,2023-02-25,2023-02-25
23217,2023-02-11,2023-02-11
62998,2023-02-17,2023-02-17
47331,2023-02-22,2023-02-23
6959,2023-02-03,2023-02-03
35076,2023-02-16,2023-02-16
57069,2023-02-27,2023-02-27
17908,2023-02-09,2023-02-09
41163,2023-02-19,2023-02-19
13079,2023-02-07,2023-02-07
52689,2023-02-25,2023-02-25
63465,2023-02-20,2023-02-20
28728,2023-02-14,2023-02-14
29599,2023-02-14,2023-02-14
30049,2023-02-14,2023-02-14
56275,2023-02-27,2023-02-27
38531,2023-02-18,2023-02-18
6140,2023-02-03,2023-02-03
50559,2023-02-24,2023-02-24
32880,2023-02-16,2023-02-16
64260,2023-02-25,2023-02-25
11906,2023-02-06,2023-02-06
45370,2023-02-22,2023-02-22
8148,2023-02-04,2023-02-04
52882,2023-02-25,2023-02-25
22363,2023-02-11,2023-02-11
54640,2023-02-26,2023-02-26
38281,2023-02-18,2023-02-18
12071,2023-02-06,2023-02-06
4769,2023-02-02,2023-02-02
57765,2023-02-27,2023-02-27
17005,2023-02-08,2023-02-08
46771,2023-02-22,2023-02-22
49154,2023-02-23,2023-02-23
28387,2023-02-14,2023-02-14
19900,2023-02-10,2023-02-10
13555,2023-02-07,2023-02-07
8728,2023-02-04,2023-02-04
7114,2023-02-03,2023-02-03
61952,2023-02-11,2023-02-11
15944,2023-02-08,2023-02-08
41891,2023-02-20,2023-02-20
13801,2023-02-07,2023-02-07
20298,2023-02-10,2023-02-10
16565,2023-02-08,2023-02-08
51265,2023-02-24,2023-02-24
3163,2023-02-02,2023-02-02
59927,2023-02-28,2023-02-28
60443,2023-02-03,2023-02-03
9715,2023-02-05,2023-02-05
35659,2023-02-17,2023-02-17
32717,2023-02-16,2023-02-16
53707,2023-02-25,2023-02-25
17243,2023-02-08,2023-02-08
46306,2023-02-22,2023-02-22
8827,2023-02-04,2023-02-04
56573,2023-02-27,2023-02-27
7298,2023-02-03,2023-02-04
49752,2023-02-24,2023-02-24
13165,2023-02-07,2023-02-07
53604,2023-02-25,2023-02-25
63659,2023-02-22,2023-02-22
33100,2023-02-16,2023-02-16
16279,2023-02-08,2023-02-08
14557,2023-02-07,2023-02-07
8613,2023-02-04,2023-02-04
29667,2023-02-14,2023-02-14
12937,2023-02-07,2023-02-07
32571,2023-02-15,2023-02-15
54094,2023-02-26,2023-02-26
40857,2023-02-19,2023-02-19
61942,2023-02-11,2023-02-11
6734,2023-02-03,2023-02-03
23756,2023-02-11,2023-02-11
27805,2023-02-13,2023-02-13
